,0
235,Urothelium(Bladder)
236,Basal epithelial cell(Bladder)
237,Urothelium(Bladder)
238,Basal epithelial cell(Bladder)
239,Urothelium(Bladder)
240,Basal epithelial cell(Bladder)
241,Basal epithelial cell(Bladder)
242,Urothelium(Bladder)
243,Urothelium(Bladder)
244,Urothelium(Bladder)
245,Stromal cell_Dpt high(Bladder)
246,Urothelium(Bladder)
247,Urothelium(Bladder)
248,Stromal cell_Dpt high(Bladder)
249,Urothelium(Bladder)
250,Basal epithelial cell(Bladder)
251,Urothelium(Bladder)
252,Basal epithelial cell(Bladder)
253,Basal epithelial cell(Bladder)
254,Urothelium(Bladder)
255,Urothelium(Bladder)
256,Urothelium(Bladder)
257,Urothelium(Bladder)
258,Stromal cell_Dpt high(Bladder)
259,Stromal cell_Dpt high(Bladder)
260,Urothelium(Bladder)
261,Basal epithelial cell(Bladder)
262,Basal epithelial cell(Bladder)
263,Urothelium(Bladder)
264,Urothelium(Bladder)
265,Stromal cell_Dpt high(Bladder)
266,Basal epithelial cell(Bladder)
267,Urothelium(Bladder)
268,Urothelium(Bladder)
269,Urothelium(Bladder)
270,Urothelium(Bladder)
271,Stromal cell_Dpt high(Bladder)
272,Basal epithelial cell(Bladder)
273,Urothelium(Bladder)
274,Urothelium(Bladder)
275,Urothelium(Bladder)
276,Urothelium(Bladder)
277,Urothelium(Bladder)
278,Urothelium(Bladder)
279,Urothelium(Bladder)
280,Urothelium(Bladder)
281,Vascular endothelial cell(Bladder)
282,Urothelium(Bladder)
283,Urothelium(Bladder)
284,Urothelium(Bladder)
285,Urothelium(Bladder)
286,Basal epithelial cell(Bladder)
287,Basal epithelial cell(Bladder)
288,Urothelium(Bladder)
289,Basal epithelial cell(Bladder)
290,Urothelium(Bladder)
291,Basal epithelial cell(Bladder)
292,Urothelium(Bladder)
293,Basal epithelial cell(Bladder)
294,Basal epithelial cell(Bladder)
295,Basal epithelial cell(Bladder)
296,Urothelium(Bladder)
297,Stromal cell_Dpt high(Bladder)
298,Urothelium(Bladder)
299,Urothelium(Bladder)
300,Basal epithelial cell(Bladder)
301,Basal epithelial cell(Bladder)
302,Basal epithelial cell(Bladder)
303,Mesenchymal stromal cell(Bladder)
304,Basal epithelial cell(Bladder)
305,Stromal cell_Dpt high(Bladder)
306,Basal epithelial cell(Bladder)
307,Basal epithelial cell(Bladder)
308,Urothelium(Bladder)
309,Urothelium(Bladder)
310,Stromal cell_Dpt high(Bladder)
311,Stromal cell_Car3 high(Bladder)
312,Basal epithelial cell(Bladder)
313,Urothelium(Bladder)
314,Urothelium(Bladder)
315,Urothelium(Bladder)
316,Urothelium(Bladder)
317,Urothelium(Bladder)
318,Urothelium(Bladder)
319,Urothelium(Bladder)
320,Stromal cell_Dpt high(Bladder)
321,Basal epithelial cell(Bladder)
322,Urothelium(Bladder)
323,Mesenchymal stromal cell(Bladder)
324,Basal epithelial cell(Bladder)
325,Basal epithelial cell(Bladder)
326,Basal epithelial cell(Bladder)
327,Basal epithelial cell(Bladder)
328,Urothelium(Bladder)
329,Urothelium(Bladder)
330,Basal epithelial cell(Bladder)
331,Basal epithelial cell(Bladder)
332,Urothelium(Bladder)
333,Basal epithelial cell(Bladder)
334,Urothelium(Bladder)
335,Basal epithelial cell(Bladder)
336,Basal epithelial cell(Bladder)
337,Urothelium(Bladder)
338,Urothelium(Bladder)
339,Urothelium(Bladder)
340,Basal epithelial cell(Bladder)
341,Stromal cell_Dpt high(Bladder)
342,Urothelium(Bladder)
343,Urothelium(Bladder)
344,Urothelium(Bladder)
345,Basal epithelial cell(Bladder)
346,Urothelium(Bladder)
347,Stromal cell_Dpt high(Bladder)
348,Stromal cell_Dpt high(Bladder)
349,Stromal cell_Car3 high(Bladder)
350,Dendritic cell_Lyz2 high(Bladder)
351,Urothelium(Bladder)
352,Urothelium(Bladder)
353,Urothelium(Bladder)
354,Urothelium(Bladder)
355,Urothelium(Bladder)
356,Basal epithelial cell(Bladder)
357,Stromal cell_Dpt high(Bladder)
358,Urothelium(Bladder)
359,Basal epithelial cell(Bladder)
360,Urothelium(Bladder)
361,Stromal cell_Dpt high(Bladder)
362,Urothelium(Bladder)
363,Basal epithelial cell(Bladder)
364,Urothelium(Bladder)
365,Urothelium(Bladder)
366,Stromal cell_Dpt high(Bladder)
367,Urothelium(Bladder)
368,Vascular endothelial cell(Bladder)
369,Basal epithelial cell(Bladder)
370,Urothelium(Bladder)
371,Stromal cell_Dpt high(Bladder)
372,Dendritic cell_Lyz2 high(Bladder)
373,Urothelium(Bladder)
374,Stromal cell_Car3 high(Bladder)
375,Stromal cell_Dpt high(Bladder)
376,Basal epithelial cell(Bladder)
377,Urothelium(Bladder)
378,Urothelium(Bladder)
379,Stromal cell_Car3 high(Bladder)
380,Urothelium(Bladder)
381,Basal epithelial cell(Bladder)
382,Basal epithelial cell(Bladder)
383,Urothelium(Bladder)
384,Urothelium(Bladder)
385,Urothelium(Bladder)
386,Urothelium(Bladder)
387,Basal epithelial cell(Bladder)
388,Basal epithelial cell(Bladder)
389,Urothelium(Bladder)
390,Basal epithelial cell(Bladder)
391,Urothelium(Bladder)
392,Stromal cell_Dpt high(Bladder)
393,Vascular endothelial cell(Bladder)
394,Mesenchymal stromal cell(Bladder)
395,Urothelium(Bladder)
396,Basal epithelial cell(Bladder)
397,Basal epithelial cell(Bladder)
398,Urothelium(Bladder)
399,Stromal cell_Dpt high(Bladder)
400,Urothelium(Bladder)
401,Basal epithelial cell(Bladder)
402,Basal epithelial cell(Bladder)
403,Urothelium(Bladder)
404,Basal epithelial cell(Bladder)
405,Stromal cell_Dpt high(Bladder)
406,Stromal cell_Dpt high(Bladder)
407,Urothelium(Bladder)
408,Stromal cell_Dpt high(Bladder)
409,Basal epithelial cell(Bladder)
410,Basal epithelial cell(Bladder)
411,Urothelium(Bladder)
412,Basal epithelial cell(Bladder)
413,Urothelium(Bladder)
414,Basal epithelial cell(Bladder)
415,Stromal cell_Dpt high(Bladder)
416,Basal epithelial cell(Bladder)
417,Basal epithelial cell(Bladder)
418,Urothelium(Bladder)
419,Mesenchymal stromal cell(Bladder)
420,Mesenchymal stromal cell(Bladder)
421,Urothelium(Bladder)
422,Stromal cell_Dpt high(Bladder)
423,Basal epithelial cell(Bladder)
424,Stromal cell_Car3 high(Bladder)
425,Smooth muscle cell(Bladder)
426,Stromal cell_Dpt high(Bladder)
427,Stromal cell_Dpt high(Bladder)
428,Stromal cell_Dpt high(Bladder)
429,Basal epithelial cell(Bladder)
430,Urothelium(Bladder)
431,Urothelium(Bladder)
432,Basal epithelial cell(Bladder)
433,Stromal cell_Dpt high(Bladder)
434,Stromal cell_Car3 high(Bladder)
435,Urothelium(Bladder)
436,Stromal cell_Dpt high(Bladder)
437,Basal epithelial cell(Bladder)
438,Stromal cell_Car3 high(Bladder)
439,Urothelium(Bladder)
440,Stromal cell_Dpt high(Bladder)
441,Urothelium(Bladder)
442,Basal epithelial cell(Bladder)
443,Basal epithelial cell(Bladder)
444,Urothelium(Bladder)
445,Stromal cell_Dpt high(Bladder)
446,Stromal cell_Dpt high(Bladder)
447,Stromal cell_Dpt high(Bladder)
448,Vascular endothelial cell(Bladder)
449,Basal epithelial cell(Bladder)
450,Basal epithelial cell(Bladder)
451,Basal epithelial cell(Bladder)
452,Mesenchymal stromal cell(Bladder)
453,Stromal cell_Dpt high(Bladder)
454,Urothelium(Bladder)
455,Basal epithelial cell(Bladder)
456,Vascular endothelial cell(Bladder)
457,Basal epithelial cell(Bladder)
458,Basal epithelial cell(Bladder)
459,Stromal cell_Car3 high(Bladder)
460,Basal epithelial cell(Bladder)
461,Epithelial cell_Upk3a high(Bladder)
462,Smooth muscle cell(Bladder)
463,Stromal cell_Dpt high(Bladder)
464,Stromal cell_Dpt high(Bladder)
465,Basal epithelial cell(Bladder)
466,Urothelium(Bladder)
467,Urothelium(Bladder)
468,Stromal cell_Car3 high(Bladder)
469,Basal epithelial cell(Bladder)
470,Urothelium(Bladder)
471,Urothelium(Bladder)
472,Epithelial cell_Upk3a high(Bladder)
473,Basal epithelial cell(Bladder)
474,Basal epithelial cell(Bladder)
475,Dendritic cell_Lyz2 high(Bladder)
476,Stromal cell_Dpt high(Bladder)
477,Basal epithelial cell(Bladder)
478,Urothelium(Bladder)
479,Stromal cell_Dpt high(Bladder)
480,Stromal cell_Dpt high(Bladder)
481,Macrophage_Pf4 high(Bladder)
482,Basal epithelial cell(Bladder)
483,Epithelial cell_Upk3a high(Bladder)
484,Basal epithelial cell(Bladder)
485,Stromal cell_Dpt high(Bladder)
486,Basal epithelial cell(Bladder)
487,Stromal cell_Dpt high(Bladder)
488,Urothelium(Bladder)
489,Basal epithelial cell(Bladder)
490,Stromal cell_Dpt high(Bladder)
491,Urothelium(Bladder)
492,Stromal cell_Dpt high(Bladder)
493,Stromal cell_Dpt high(Bladder)
494,Urothelium(Bladder)
495,Urothelium(Bladder)
496,Basal epithelial cell(Bladder)
497,Urothelium(Bladder)
498,Endothelial cell_Ly6c1 high(Bladder)
499,Urothelium(Bladder)
500,Stromal cell_Car3 high(Bladder)
501,Stromal cell_Dpt high(Bladder)
502,Urothelium(Bladder)
503,Basal epithelial cell(Bladder)
504,Basal epithelial cell(Bladder)
505,Stromal cell_Car3 high(Bladder)
506,Basal epithelial cell(Bladder)
507,Stromal cell_Dpt high(Bladder)
508,Urothelium(Bladder)
509,Endothelial cell_Ly6c1 high(Bladder)
510,Stromal cell_Dpt high(Bladder)
511,Urothelium(Bladder)
512,Urothelium(Bladder)
513,Basal epithelial cell(Bladder)
514,Dendritic cell_Lyz2 high(Bladder)
515,Stromal cell_Car3 high(Bladder)
516,Basal epithelial cell(Bladder)
517,Urothelium(Bladder)
518,Stromal cell_Dpt high(Bladder)
519,Stromal cell_Dpt high(Bladder)
520,Urothelium(Bladder)
521,Stromal cell_Dpt high(Bladder)
522,Stromal cell_Car3 high(Bladder)
523,Urothelium(Bladder)
524,Urothelium(Bladder)
525,Urothelium(Bladder)
526,Stromal cell_Dpt high(Bladder)
527,Basal epithelial cell(Bladder)
528,Urothelium(Bladder)
529,Stromal cell_Car3 high(Bladder)
530,Basal epithelial cell(Bladder)
531,Stromal cell_Dpt high(Bladder)
532,Stromal cell_Car3 high(Bladder)
533,Urothelium(Bladder)
534,Basal epithelial cell(Bladder)
535,Urothelium(Bladder)
536,Stromal cell_Dpt high(Bladder)
537,Urothelium(Bladder)
538,Urothelium(Bladder)
539,Basal epithelial cell(Bladder)
540,Stromal cell_Dpt high(Bladder)
541,Stromal cell_Dpt high(Bladder)
542,Stromal cell_Dpt high(Bladder)
543,Stromal cell_Dpt high(Bladder)
544,Stromal cell_Dpt high(Bladder)
545,Urothelium(Bladder)
546,Basal epithelial cell(Bladder)
547,Basal epithelial cell(Bladder)
548,Urothelium(Bladder)
549,Mesenchymal stromal cell(Bladder)
550,Stromal cell_Dpt high(Bladder)
551,Endothelial cell_Ly6c1 high(Bladder)
552,Stromal cell_Dpt high(Bladder)
553,Stromal cell_Dpt high(Bladder)
554,Stromal cell_Dpt high(Bladder)
555,Smooth muscle cell(Bladder)
556,Stromal cell_Dpt high(Bladder)
557,Basal epithelial cell(Bladder)
558,Stromal cell_Dpt high(Bladder)
559,Dendritic cell_Lyz2 high(Bladder)
560,Stromal cell_Dpt high(Bladder)
561,Stromal cell_Dpt high(Bladder)
562,Urothelium(Bladder)
563,Basal epithelial cell(Bladder)
564,Stromal cell_Dpt high(Bladder)
565,Stromal cell_Dpt high(Bladder)
566,Epithelial cell_Upk3a high(Bladder)
567,Basal epithelial cell(Bladder)
568,Urothelium(Bladder)
569,Basal epithelial cell(Bladder)
570,Basal epithelial cell(Bladder)
571,Basal epithelial cell(Bladder)
572,Stromal cell_Car3 high(Bladder)
573,Epithelial cell_Upk3a high(Bladder)
574,Basal epithelial cell(Bladder)
575,Epithelial cell_Upk3a high(Bladder)
576,Basal epithelial cell(Bladder)
577,Smooth muscle cell(Bladder)
578,Stromal cell_Dpt high(Bladder)
579,Mesenchymal stromal cell(Bladder)
580,Basal epithelial cell(Bladder)
581,Stromal cell_Dpt high(Bladder)
582,Stromal cell_Dpt high(Bladder)
583,Stromal cell_Dpt high(Bladder)
584,Stromal cell_Car3 high(Bladder)
585,Urothelium(Bladder)
586,Stromal cell_Dpt high(Bladder)
587,Mesenchymal stromal cell(Bladder)
588,Basal epithelial cell(Bladder)
589,Stromal cell_Dpt high(Bladder)
590,Urothelium(Bladder)
591,Basal epithelial cell(Bladder)
592,Urothelium(Bladder)
593,Stromal cell_Car3 high(Bladder)
594,Stromal cell_Car3 high(Bladder)
595,Stromal cell_Dpt high(Bladder)
596,Basal epithelial cell(Bladder)
597,Epithelial cell_Upk3a high(Bladder)
598,Stromal cell_Car3 high(Bladder)
599,Stromal cell_Dpt high(Bladder)
600,Stromal cell_Dpt high(Bladder)
601,Epithelial cell_Upk3a high(Bladder)
602,Mesenchymal stromal cell(Bladder)
603,Basal epithelial cell(Bladder)
604,Stromal cell_Dpt high(Bladder)
605,Basal epithelial cell(Bladder)
606,Basal epithelial cell(Bladder)
607,Urothelium(Bladder)
608,Basal epithelial cell(Bladder)
609,Basal epithelial cell(Bladder)
610,Epithelial cell_Gm23935 high(Bladder)
611,Stromal cell_Dpt high(Bladder)
612,Stromal cell_Car3 high(Bladder)
613,Mesenchymal stromal cell(Bladder)
614,Urothelium(Bladder)
615,Stromal cell_Dpt high(Bladder)
616,Epithelial cell_Upk3a high(Bladder)
617,Stromal cell_Dpt high(Bladder)
618,Stromal cell_Dpt high(Bladder)
619,Stromal cell_Dpt high(Bladder)
620,Urothelium(Bladder)
621,Stromal cell_Dpt high(Bladder)
622,Stromal cell_Dpt high(Bladder)
623,Stromal cell_Car3 high(Bladder)
624,Mesenchymal stromal cell(Bladder)
625,Mesenchymal stromal cell(Bladder)
626,Stromal cell_Car3 high(Bladder)
627,Stromal cell_Car3 high(Bladder)
628,Urothelium(Bladder)
629,Basal epithelial cell(Bladder)
630,Basal epithelial cell(Bladder)
631,Basal epithelial cell(Bladder)
632,Stromal cell_Dpt high(Bladder)
633,Stromal cell_Car3 high(Bladder)
634,Mesenchymal stromal cell(Bladder)
635,Basal epithelial cell(Bladder)
636,Stromal cell_Car3 high(Bladder)
637,Urothelium(Bladder)
638,Basal epithelial cell(Bladder)
639,Epithelial cell_Upk3a high(Bladder)
640,Stromal cell_Car3 high(Bladder)
641,Basal epithelial cell(Bladder)
642,Stromal cell_Car3 high(Bladder)
643,Basal epithelial cell(Bladder)
644,Epithelial cell_Upk3a high(Bladder)
645,Stromal cell_Car3 high(Bladder)
646,Basal epithelial cell(Bladder)
647,Stromal cell_Dpt high(Bladder)
648,Stromal cell_Dpt high(Bladder)
649,Stromal cell_Car3 high(Bladder)
650,Stromal cell_Car3 high(Bladder)
651,Stromal cell_Car3 high(Bladder)
652,Vascular endothelial cell(Bladder)
653,Basal epithelial cell(Bladder)
654,Stromal cell_Dpt high(Bladder)
655,Basal epithelial cell(Bladder)
656,Stromal cell_Dpt high(Bladder)
657,Mesenchymal stromal cell(Bladder)
658,Urothelium(Bladder)
659,Vascular endothelial cell(Bladder)
660,Vascular endothelial cell(Bladder)
661,Stromal cell_Dpt high(Bladder)
662,Stromal cell_Dpt high(Bladder)
663,Basal epithelial cell(Bladder)
664,Basal epithelial cell(Bladder)
665,Stromal cell_Dpt high(Bladder)
666,Basal epithelial cell(Bladder)
667,Urothelium(Bladder)
668,Mesenchymal stromal cell(Bladder)
669,Basal epithelial cell(Bladder)
670,Basal epithelial cell(Bladder)
671,Basal epithelial cell(Bladder)
672,Basal epithelial cell(Bladder)
673,Urothelium(Bladder)
674,Stromal cell_Car3 high(Bladder)
675,Stromal cell_Dpt high(Bladder)
676,Dendritic cell_Cd74 high(Bladder)
677,Basal epithelial cell(Bladder)
678,Basal epithelial cell(Bladder)
679,Basal epithelial cell(Bladder)
680,Basal epithelial cell(Bladder)
681,Stromal cell_Dpt high(Bladder)
682,Smooth muscle cell(Bladder)
683,Stromal cell_Dpt high(Bladder)
684,Mesenchymal stromal cell(Bladder)
685,Stromal cell_Dpt high(Bladder)
686,Basal epithelial cell(Bladder)
687,Stromal cell_Dpt high(Bladder)
688,Smooth muscle cell(Bladder)
689,Basal epithelial cell(Bladder)
690,Mesenchymal stromal cell(Bladder)
691,Stromal cell_Dpt high(Bladder)
692,Stromal cell_Dpt high(Bladder)
693,Stromal cell_Car3 high(Bladder)
694,Basal epithelial cell(Bladder)
695,Basal epithelial cell(Bladder)
696,Stromal cell_Car3 high(Bladder)
697,Stromal cell_Dpt high(Bladder)
698,Vascular endothelial cell(Bladder)
699,Stromal cell_Car3 high(Bladder)
700,Mesenchymal stromal cell(Bladder)
701,Stromal cell_Car3 high(Bladder)
702,Stromal cell_Dpt high(Bladder)
703,Basal epithelial cell(Bladder)
704,Stromal cell_Dpt high(Bladder)
705,Basal epithelial cell(Bladder)
706,Urothelium(Bladder)
707,Stromal cell_Dpt high(Bladder)
708,Basal epithelial cell(Bladder)
709,Vascular endothelial cell(Bladder)
710,Basal epithelial cell(Bladder)
711,Urothelium(Bladder)
712,Stromal cell_Dpt high(Bladder)
713,Stromal cell_Dpt high(Bladder)
714,Mesenchymal stromal cell(Bladder)
715,Basal epithelial cell(Bladder)
716,Basal epithelial cell(Bladder)
717,Epithelial cell_Upk3a high(Bladder)
718,Stromal cell_Dpt high(Bladder)
719,Stromal cell_Dpt high(Bladder)
720,Basal epithelial cell(Bladder)
721,Stromal cell_Dpt high(Bladder)
722,Basal epithelial cell(Bladder)
723,Mesenchymal stromal cell(Bladder)
724,Basal epithelial cell(Bladder)
725,Stromal cell_Dpt high(Bladder)
726,Stromal cell_Car3 high(Bladder)
727,Epithelial cell_Upk3a high(Bladder)
728,Urothelium(Bladder)
729,Stromal cell_Car3 high(Bladder)
730,Dendritic cell_Lyz2 high(Bladder)
731,Basal epithelial cell(Bladder)
732,Stromal cell_Dpt high(Bladder)
733,Stromal cell_Dpt high(Bladder)
734,Mesenchymal stromal cell(Bladder)
735,Epithelial cell_Upk3a high(Bladder)
736,Mesenchymal stromal cell(Bladder)
737,Stromal cell_Dpt high(Bladder)
738,Basal epithelial cell(Bladder)
739,Stromal cell_Car3 high(Bladder)
740,Stromal cell_Dpt high(Bladder)
741,Mesenchymal stromal cell(Bladder)
742,Stromal cell_Dpt high(Bladder)
743,Stromal cell_Dpt high(Bladder)
744,Urothelium(Bladder)
745,Mesenchymal stromal cell(Bladder)
746,Stromal cell_Dpt high(Bladder)
747,Epithelial cell_Gm23935 high(Bladder)
748,Basal epithelial cell(Bladder)
749,Stromal cell_Dpt high(Bladder)
750,Stromal cell_Dpt high(Bladder)
751,Basal epithelial cell(Bladder)
752,Basal epithelial cell(Bladder)
753,Basal epithelial cell(Bladder)
754,Basal epithelial cell(Bladder)
755,Stromal cell_Dpt high(Bladder)
756,Stromal cell_Dpt high(Bladder)
757,Stromal cell_Dpt high(Bladder)
758,Urothelium(Bladder)
759,Stromal cell_Dpt high(Bladder)
760,Stromal cell_Dpt high(Bladder)
761,Basal epithelial cell(Bladder)
762,Stromal cell_Dpt high(Bladder)
763,Basal epithelial cell(Bladder)
764,Stromal cell_Dpt high(Bladder)
765,Stromal cell_Car3 high(Bladder)
766,Stromal cell_Dpt high(Bladder)
767,Dendritic cell_Lyz2 high(Bladder)
768,Stromal cell_Dpt high(Bladder)
769,Stromal cell_Dpt high(Bladder)
770,Basal epithelial cell(Bladder)
771,Stromal cell_Dpt high(Bladder)
772,Stromal cell_Dpt high(Bladder)
773,Stromal cell_Car3 high(Bladder)
774,Stromal cell_Dpt high(Bladder)
775,Epithelial cell_Gm23935 high(Bladder)
776,Basal epithelial cell(Bladder)
777,Urothelium(Bladder)
778,Basal epithelial cell(Bladder)
779,Stromal cell_Car3 high(Bladder)
780,Epithelial cell_Upk3a high(Bladder)
781,Basal epithelial cell(Bladder)
782,Smooth muscle cell(Bladder)
783,Macrophage_Pf4 high(Bladder)
784,Vascular endothelial cell(Bladder)
785,Mesenchymal stromal cell(Bladder)
786,Stromal cell_Dpt high(Bladder)
787,Stromal cell_Dpt high(Bladder)
788,Stromal cell_Dpt high(Bladder)
789,Stromal cell_Dpt high(Bladder)
790,Mesenchymal stromal cell(Bladder)
791,Mesenchymal stromal cell(Bladder)
792,Basal epithelial cell(Bladder)
793,Stromal cell_Car3 high(Bladder)
794,Basal epithelial cell(Bladder)
795,Stromal cell_Dpt high(Bladder)
